Text,Sentiment
"Fast delivery and amazing quality, exceeded expectations.",positive
"Fast delivery and amazing quality, exceeded expectations.",positive
Will not be coming back here again. Terrible experience.,negative
Extremely disappointed with the service.,negative
Will not be coming back here again. Terrible experience.,negative
"Highly recommend this place, everything was perfect.",positive
The item arrived broken and support was unhelpful.,negative
The item arrived broken and support was unhelpful.,negative
Average service and decent quality.,neutral
"The product does what it's supposed to, no more no less.",neutral
A delightful stay with comfortable rooms and friendly staff.,positive
"Not bad, not great either. Just fine.",neutral
Totally not worth the money. Regret buying it.,negative
Totally not worth the money. Regret buying it.,negative
The item arrived broken and support was unhelpful.,negative
A delightful stay with comfortable rooms and friendly staff.,positive
Totally not worth the money. Regret buying it.,negative
A delightful stay with comfortable rooms and friendly staff.,positive
Average service and decent quality.,neutral
Totally not worth the money. Regret buying it.,negative
A delightful stay with comfortable rooms and friendly staff.,positive
Average service and decent quality.,neutral
The item arrived broken and support was unhelpful.,negative
"The product does what it's supposed to, no more no less.",neutral
"The product does what it's supposed to, no more no less.",neutral
Totally not worth the money. Regret buying it.,negative
Average service and decent quality.,neutral
The item arrived broken and support was unhelpful.,negative
"Absolutely loved the experience, would come again!",positive
"Highly recommend this place, everything was perfect.",positive
A delightful stay with comfortable rooms and friendly staff.,positive
"Absolutely loved the experience, would come again!",positive
Dirty room and rude staff. Avoid at all costs.,negative
"Not bad, not great either. Just fine.",neutral
"Absolutely loved the experience, would come again!",positive
Customer service was top-notch and the food was delicious.,positive
A delightful stay with comfortable rooms and friendly staff.,positive
"Highly recommend this place, everything was perfect.",positive
"Not bad, not great either. Just fine.",neutral
The item arrived broken and support was unhelpful.,negative
